# JMH 1.12 (released 63 days ago)
# VM version: JDK 1.8.0_91, VM 25.91-b14
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 5 iterations, 20 s each
# Measurement: 10 iterations, 20 s each
# Timeout: 10 min per iteration
# Threads: 8 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.focusit.cpu.groovy.compilation.GroovyCompilationBenchmark.scriptFromClassloader

# Run progress: 0.00% complete, ETA 06:00:00
# Fork: 1 of 4
# Warmup Iteration   1: 2998011.011 ops/s
# Warmup Iteration   2: 3185491.304 ops/s
# Warmup Iteration   3: 3500271.380 ops/s
# Warmup Iteration   4: 3494742.562 ops/s
# Warmup Iteration   5: 3448965.781 ops/s
Iteration   1: 3404487.411 ops/s
Iteration   2: 3488141.415 ops/s
Iteration   3: 3499599.614 ops/s
Iteration   4: 3482686.786 ops/s
Iteration   5: 3367454.728 ops/s
Iteration   6: 3505197.455 ops/s
Iteration   7: 3494831.055 ops/s
Iteration   8: 3491490.095 ops/s
Iteration   9: 3480842.015 ops/s
Iteration  10: 3487177.664 ops/s

# Run progress: 1.39% complete, ETA 05:56:23
# Fork: 2 of 4
# Warmup Iteration   1: 3323937.523 ops/s
# Warmup Iteration   2: 3500362.922 ops/s
# Warmup Iteration   3: 3499445.337 ops/s
# Warmup Iteration   4: 3498470.106 ops/s
# Warmup Iteration   5: 3500091.066 ops/s
Iteration   1: 3502256.988 ops/s
Iteration   2: 3507298.478 ops/s
Iteration   3: 3506292.614 ops/s
Iteration   4: 3500775.992 ops/s
Iteration   5: 3502530.091 ops/s
Iteration   6: 3502837.720 ops/s
Iteration   7: 3499112.403 ops/s
Iteration   8: 3499743.676 ops/s
Iteration   9: 3498974.423 ops/s
Iteration  10: 3505134.249 ops/s

# Run progress: 2.78% complete, ETA 05:51:20
# Fork: 3 of 4
# Warmup Iteration   1: 3271153.197 ops/s
# Warmup Iteration   2: 3456635.663 ops/s
# Warmup Iteration   3: 3465572.486 ops/s
# Warmup Iteration   4: 3458005.700 ops/s
# Warmup Iteration   5: 3456468.990 ops/s
Iteration   1: 3445004.075 ops/s
Iteration   2: 3325547.064 ops/s
Iteration   3: 3430824.515 ops/s
Iteration   4: 3469446.201 ops/s
Iteration   5: 3465612.756 ops/s
Iteration   6: 3472026.378 ops/s
Iteration   7: 3468743.223 ops/s
Iteration   8: 3465932.349 ops/s
Iteration   9: 3471083.312 ops/s
Iteration  10: 3464943.439 ops/s

# Run progress: 4.17% complete, ETA 05:46:18
# Fork: 4 of 4
# Warmup Iteration   1: 3291065.286 ops/s
# Warmup Iteration   2: 3360671.222 ops/s
# Warmup Iteration   3: 3354939.125 ops/s
# Warmup Iteration   4: 3345818.981 ops/s
# Warmup Iteration   5: 3353310.053 ops/s
Iteration   1: 3348481.136 ops/s
Iteration   2: 3352499.753 ops/s
Iteration   3: 3350441.423 ops/s
Iteration   4: 3346109.525 ops/s
Iteration   5: 3353252.097 ops/s
Iteration   6: 3362773.857 ops/s
Iteration   7: 3354780.105 ops/s
Iteration   8: 3359443.198 ops/s
Iteration   9: 3350021.647 ops/s
Iteration  10: 3344810.165 ops/s


Result "scriptFromClassloader":
  3443216.027 ±(99.9%) 36354.126 ops/s [Average]
  (min, avg, max) = (3325547.064, 3443216.027, 3507298.478), stdev = 64619.427
  CI (99.9%): [3406861.901, 3479570.153] (assumes normal distribution)


# JMH 1.12 (released 63 days ago)
# VM version: JDK 1.8.0_91, VM 25.91-b14
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
